character_idx,character_name,movie_title,dialogue,polarity,subjectivity,intensity,therapist_semantic_score,wise_semantic_score,intelligent_semantic_score
8429,WOMAN,trainspotting,"murphy , leave your friend aside , do you see yourself a have any weakness ? homeless people ? what do you see a your main strength ?",0.1666666666666666,0.3333333333333333,0.125,0.4627082,0.35025483,0.216772
8093,K. HEN,the elephant man,"know no way to mince it in love , but directly to say love you . what ! speaker be but prater ; rhyme be but ballad . good leg will fall ; straight back will stoop ; black beard will turn white ; curl 'd pate will grow bald ; fair face will wither ; full eye will wax hollow ; but good heart , kate , be the sun and the moon , or rather the sun and not the moon ; for it shine bright and never change , but keep his course truly . what say you , fair one ? that the tongue of men be full of deceit ? an angel be like you , kate , and you be like an angel . fair katharine , if you will love me soundly with your french heart , will be glad to hear you confess it brokenly with your english tongue . do you like me , kate ? fair katharine , and most fair , will you vouchsafe to teach soldier term such a will enter at lady ear and plead his to her gentle heart ?",0.3391975308641974,0.5290123456790125,0.0276243093922651,0.42419624,0.26293862,0.17130053
2256,SHINZON,star trek: nemesis,"can feel your desire , deanna . very logical , deanna but your heart do n't constrain itself to mere logic . to leave all of this behind and be with me . 'll always be with you now . now and forever . can you feel my hand be they real ? can you feel my lip , my loin ? he can never know you a know you he can never touch you a touch you . imzadi . this be so good . deanna troi of betazed . empathic and telepathic ability , ship counselor . all of this knew but do n't know you be so beautiful . do n't you think it time to surrender ? 'll have my cloak back in matter of minute and your poor ship be shot to piece . why should the rest of your crew have to die ? hope you 're still alive , jean luc . have no choice ! ca n't fight what be ! it too late . that your life not mine . do n't know . yes . he be what his life have make him ! childish dream , captain . lose in the dilithium mine of remus . 'm what you see now . long ago . know you 'll all gladly die to save your home world . have little interest in your quaint vessel , captain . if the enterprise will withdraw to distance of one hundred light year , it will not be harm . to accept your surrender . can clearly destroy you at any time . low your shield and allow me to transport you to my ship . it just the two of u now , jean luc , a it should be your ship and mine you and me . you ca n't trace my holographic emitter , captainn . so do n't bother . and you ca n't contact starfleet . we 're quite alone . think the fact speak for themselves . the same noble picard blood run in our vein . have you live my life , you 'd be do exactly a be . look in the mirror , and see yourself . it amazes me how little you know yourself . oh , but it do . we will no longer bow like slave before anyone . not the romulans and not your mighty federation . we 're race breed for war . for conquest . my life be meaningless a long a you 're alive . what be while you exist ? shadow ? an enigma ? see an old man , set in his way , afraid to live without uniform to prop him up and starfleet regulation to tell him what to do . see the man will never be . and 'm not quite human . so what be ? what do you see ? do you see life you might have lead ? lose youth never to be recapture ? it about destiny , picard . about reman outcast who maybe 'll train it to do little trick for me like your robot do . or maybe ll snap it ugly head off . do n't be so vain . after we found it , we make few modification . an extra memory port , hidden transponder . perhaps your eye will be bit less confident when you learn 've gain access to starfleet communication protocol . now know the location of your entire fleet you may go . need sample of your blood . what do your borg friend say ? resistance be futile . be lonely hello , jean luc . in time , jean luc . 'm honor to think might someday speak with such eloquence . know . there be that . always hop would hit two meter . age before rank , jean luc . and you dream about what be up there . about look up at the star . be we always explorer ? want to know where come from . the remans give me future . you can tell me about my past . all have be my personal feeling . be n't raise with the ideal of the federation . but 'm try to understand them now . to live up to them . to live up to you . of course you do . if you have live my life and experienced the suffer of my people you be sit where be now . at least hope you would . you do n't trust me . no race should be slave to another . for thousand of year the romulan senate have met in this chamber and dictate the fate of it but the time have come for u to live a equal . they sent me there to die . how could mere human survive the dilithium mine ? it be be slave . and monster . the only thing the romulan guard hat more than the remans be me . but one man take pity on me : the man who become my viceroy . he taught me how to survive . and in that dark place , where there be nothing of myself , found my reman brother . they show me the only kindness ever knew . our eye reflect our life , do n't they ? yours be so confident . lifetime of violence will do that . my nose be broken four time . and my jaw but so much be the same . the eye , you recognize the eye . it not quite the face you remember . romulan ale 'm surprised . ca n't stand it . a happens so frequently here on romulus , new government come to power . they decide to abandon the plan frankly , think they be afraid 'd be discover and it would lead to war . they be n't ready for that . and when be ready they be go to replace you with me , an exact biological duplicate . put romulan agent at the heart of starfleet your command structure . it be bold plan . know . come to dinner on romulus tomorrow . just the two of u . or just the one of u . no one knew what to do . finally be take to doctor who have some experience with terran illness and be finally diagnose with shalaft syndrome . do you know of it , captain ? then perhaps the time have come to add some illumination to our discussion . computer , raise light four level . but you 're also think the chance for peace be too promising to ignore . above allyou 're try to decide if you can trust me . and you 're wonder why the scimitar be so well arm . be this the ship of peacemaker ? or predator ? . right now , you re think this all sound too good to be true ? have dissolve the senate . want to end the century of mistrust . want to be your ally , not your enemy . a first step propose we eliminate the neutral zone and begin free and open exchange of good and idea . unity , captain ! tear down the wall between u to recognize we be one people . federation and romulan . human and vulcan and klingon and reman . 'm speak of the thing that make u the same . we want peace . yes , 'm sorry , captain . there so much we have to talk about . on the world come from there no light . no sun . beauty be n't important . see now there world elsewhere . be , commander riker may touch your hair ? 've never met human woman . no ? hope you 'll forgive the darkness we 're not comfortable in the light . our great goal be more important , brother . deploy the weapon . kill everything on that ship . then set course for earth . target disruptors . destroy them . report ! on my way . what be it ! ! ! focus on your job ! ! full stop and fire ! you heard me . let her pursue drop cloak on the aft port quadrant and prepare for full emergency stop . how long until we reach the rift ? how long ? have the doctor prepare . 'll be on the bridge . do a tell you ! find her again . my time . 'll spend it how choose . he gentler than thought . and he have sense of humor . be we prepared ? and when return you and shall have little talk about show proper respect ! commander suran , the game be over . in two day the federation will be cripple beyond repair . do that satisfy you ? thought we discuss patience , commander . the enterprise be immaterial ! they wo n't make it back to federation space . now go . have some personal business . you must learn patience , commander . do you know where learn it ? in the dilithium mine of remus . spend eighteen hour every day under the ash of romulan guard whip and you 'll soon understand patience . silence , romulan ! have purpose . you do n't have to understand . come this far alone the scimitar will serve my need . none . it imperative we retain their allegiance or our great mission will be strangle before it can truly draw breath . and ? join u , commander . now what the disposition of the fleet ?",0.0389137372163555,0.5123348049090622,0.0326530612244898,0.42040366,0.36515978,0.24645744
3954,DR. TAYLOR,a clockwork orange,"'m sure it wo n't be long now . it not that kind of test . but you seem well on the way to complete recovery . good . 'm glad yes . fine . well , that all there be to it . be you alright ? good . you can do whatever you like with these . good . what do you want ? good . it wa your fault you sell me crummy watch . want my money back . good . the boy you always quarrel with be seriously ill . yes . yes , well do n't think about it too long , just say the first thing that pop into your mind . be n't the plumage beautiful ? now then , each of these slide need reply from one of the people in the picture . you 'll tell me what you think the person would say . alright ? patient who 've sustain the kind of injury you have often have dream of this sort . it all part of the recovery process . yes ? no 'm go to show you some slide and you be go to tell me what you think about them alright ? just part of hospital routine . 'm your psychiatrist . good . 'm doctor taylor . how be you feel today ?",0.412037037037037,0.6290123456790123,0.0364583333333333,0.415555,0.27660125,0.25184962
4731,LEADER,fight club,"tell the other person how you feel . now , find your power animal . okay , everyone . and you open the door and you step inside . we 're inside our heart . now , image your pain a white ball of heal light . that right , the pain itself be ball of heal light . tonight , we 're go to open the green door the heart chakra",0.1400793650793651,0.4567460317460317,0.0,0.40105593,0.28519458,0.1280301
8127,MERRICK,the elephant man,"if only could find her . if only she could see me now , here , with such lovely kind friend . you , treves , and you , treves . then maybe she would love me a be . 've try to hard to be good . she have the face of an angel she be an angel . she be so kind so kind to me . it not her fault , for in the fourth month of her maternal condition she be knock down by an elephant . 'm sure must have be great disappointment to her . oh , yes . they have noble face . how lovely . oh yes . you have so many nice thing , and so much room . two , please . yes please , two . be very pleased to meet you . thou preparest table before me in the presence of mine enemy , thou anointest my head with oil everyone have be very kind . everyone have be very kind to me . everyone have be very kind . be extremely grateful . feel much well . thank you . feel much well . thank you for ask . and you ? oh no ? , then , dear saint , let lip do what hand do . they pray , grant thou , l faith turn to despair . have not saint lip , and holy palmer too ? no , but certainly shall . romance ! tell me about it , please ! ala , no . well , even to work there would be wonderful . be it beautiful ? treves say that you be in the theatre . do you live there ? yes . oh , no . would never think it ! it so beautiful . you be so 'll give it place of honor , here , next to my mother . oh , no . good day ! ! ! oh , yes . oh no , my friend yes . you 're english . 'll have to find some more . learn long time ago . the main spire . meant no harm , it be the only place where could find cardboard . thought it have be thrown away . thank you very much . yes . good morning . no , nothing . thank you very much . yes . you too , my friend . goodnight . then should n't change anything ? treves , tell me tell me truly . be it alright , do make any mistake that you can see ? oh yes ! it be wonderful ! yes , very soon . oh no , could n't . treves ! treves . treves . thank you my friend . oh , treves . treves . my home . please please thank the govern committee for me . will do my utmost to merit their kindness . you do this for me ? my home ? you do n't think it too gaudy , do you ? oh no ! there be nothing ! have everything , you have give me everything could possibly want . be happy every hour of the day . only wish there be something could give to you . yes , soon will start the main spire , but must finish these column first , how kind of her ! thought a much . can you cure me ? treves , there be something 've be meaning to ask you for some time when will the stream be aweary of flow under my eye ? when will the wind be aweary of blowing over the sky ? when will the cloud be aweary of fleeting ? when will the heart be aweary of beating , and nature die ? good morning . here . would you would you like to see my mother ? friend . ah yes , friend ! how nice . the child . where be your child the child ! may see ? who be they of ? love the way you 've arrange your picture on the mantlepiece . be that the way it do in most house ? it very good . 'm enjoy my visit with you very much . it so very kind of you to have me a guest in your home . 'm sorry make spectacle of myself . ohhh well , it lovely bedroom . what do you call that thing above the bed ? 'm not use to such kindness . from beautiful woman . thank you very much . how long will stay here ? the hospital ? this be my new home ? good even . very well , thank you . and you ? oh , no do not say that . you have be so kind to me . be afraid to say too much . people always want me to be quiet . you want me to speak , but be afraid . forgive me . you do not ask me . but the variety of food here be very please commend you . oh yes ! it be much well than what be use to . hello my name be john merrick . be very pleased to meet you . hello , my name be john merrick . be very pleased to meet you ! righteousness for his namesake . the lord be my shepherd , shall not want , he maketh me to lie down in green pasture ; he leadeth me beside still water . he restoreth my soul : he guideth me in the path of righteousness hello , my name be john merrick . hello my name be john merrick . mmmerrick . mmmerrick . merrick john merrick my name be hello yes . yes ! yyess . yyes yyyy yyye yyyess .",0.286908573404109,0.641995722531437,0.0523186682520808,0.40013087,0.25528604,0.14553106
7431,HATSUE,snow falling on cedars,"you 're imply th it seem human . to me . we be afraid . silence seem well . to come forward seem like mistake . trial be n't only about truth , hook . even though they should be . they 're about what people believe be true . because the fact could be misconstrue a murder . we discuss that . and decide not to . yes , and then , what be there to call about ? everything be up in the air . of course not . we 're just not quick to run and boast . in case something go wrong . closer to eight . we hear how carl pass away . only few hour later . happy for him . and relieve . say . not agitate , he be excite in the sense of be overjoyed . it not for the . they only get to convict him . do you write that column ? you have to hear this , can never touch you , ishmael . not once , not ever . there no way . a much a know it hurt you , you have to let this go . 'm married , ishmael . it be n't right for u to be alone . people will 'm sorry about your arm . kabuo and . be very sor do n't mean everyone . just people who can do thing because they can arrest people or convict them . or run newspaper . look at my face . it the face of the people who do that . my father hardly speaks english . we 're in bad trouble , you have to see that . my father ca n't get our money from the bank . we have few dol lie to my parent every day . and every night . can just feel my spirit soar . my mom . would be the problem . we 're japanese , not mexican , ishmael . he 'll slice you up with ceremonial sword . easy . slow be best . he still get good grip . we need to dig more .",0.0594727891156462,0.4794727891156462,0.009771986970684,0.39985192,0.31175208,0.22643375
1979,COLE,the sixth sense,"what ? really ? maybe . do n't go home , okay ? wish be somewhere else . she come long way to visit me , do n't she ? what if they do n't want help ? what if they 're just angry and they want to hurt somebody ? you do ? you believe now ? just help . no . you have nice red in your cheek now . you really look well . what happen ? we 're not gon na start cry again , be we ? be you wigging out ? something happen , do n't it ? you believe me , right ? crowe ? you be n't paper champion . do n't cry . do n't give up . you 're the only one who can help me . know it . do n't fail me . when ? why do n't you think about it for while ? told you what want . what do you want more than anything ? can ask you then ? when they get mad , it get cold . and the tiny hair on your arm . be they all stand up ? cat ? tommy tammisimo act in cough syrup commercial . he thought everybody be and unrealistic . he say the play suck big time . do you think the play suck big time ? will you stay here till fall asleep ? all the time . they 're everywhere . you wo n't tell anyone my secret , right ? no , walk around , like regular people they ca n't see each other . some of them do n't know they 're dead . me too . your eye told me . you have to add some twist and stuff . maybe they run out of gas . you have n't told bedtime story before ? crowe . yes . do n't know you be funny . you just kept the penny in that hand the whole time that be n't magic . something want ? upset word . word . what if she have to pee when she work ? you think she just hold it ? she die long time ago . marschal get real lonely . you say the word . that 'm freak . cause she do n't look at me like everybody and do n't want her to . do n't want her to know . do n't tell her thing . he hate me . walk this way to school with tommy tammisimo . look over there . yeah , private kinney need to get back safe to take care of her . private kinney wife be really sick she have something call brain anism . you want to ask me question ? draw people with smile , dog run , and rainbow . they do n't have meeting about rainbow . everybody get upset . they have meeting . momma start cry . do n't draw like that anymore . we be suppose to draw picture . anything we want drew man . he get hurt in the neck by another man with screwdriver . next time wo n't be scar of you . 'm go to see you again , right ? that good . not even little one that be n't suppose to hurt ? you use needle ? congratulation . you 're doctor . what kind ? forgot your name . nothing bad can happen in church , right ? what be they hiding from ? no , just one . de profundis clamo ad te domine . they 're my dad . the lens hurt my eye . she want me to tell you , she saw you dance . she want me to tell you know . grandma come to visit me sometimes . she say she sorry for take the bumble bee pendant . she just like it lot . get it . you think 'm freak ? what be you think , momma ? they want me to do thing for them . ghost . dead people . they scare me too sometimes . stand next to my window . yes . lady . she die . someone get hurt . you know that accident up there ? tell you my secret . 'm ready to communicate with you now . maybe . do n't get mad . sometimes people think they lose thing and they do n't really lose them . it just get move . you 'd cry . cause you miss grandma so much . anything bad about me ? what be you think , momma ? oh . stutter stutter stanley ! stutter stanley ! stutter stanley ! stutter stanley ! stutter stanley ! stop look at me . you should n't laugh at people . it make them feel bad . you talk funny when you go to school here . you talk funny all the way to high school ! you 're stutter stanley ! stop it ! do n't like people look at me like that . they be the one who hang everybody . they 'd pull the people in cry and kiss their family bye people watch would spit at them . they use to hang people here .",-0.0144110275689223,0.5375775978407558,0.0635994587280108,0.39591926,0.21296719,0.094183505
3636,JANE,broadcast news,"like it ! so , doll , what about you lately ? well , we met about three month ago . he work at the surgeon general office . he love boat . so , he be get me into water skiing . 'm go to take it . think so they 've be talk to me about be tom manage editor . you wo n't be able to stay mad at me , right ? yes . you be now require to sit here with me . come on be smart for second what do you think will happen to u ? just want to sit here longer , mean the feel be powerful why that ? you 're just try to say all great stuff so 'll feel even bad that you 're not around . tell me the god honest truth be you leave because of me ? because if you be why not try it for few week ? just found out . you do n't say anything to me ? you just resign ? will you meet me now ? no , now ! 'm go away tomorrow . please . bastard , sneak , quitter . do n't say anything about anything . sit down , stop . you be quick enough to get tom help when how ? think you 're the devil . this be n't friendship . yeah be basket case . yes , guess . yes . what ? this be important to me . do n't know . may be in love with him . told what his name tom that 'd meet him . have to be somewhere . if all that happen , how come you 're so chipper ? there be complain phone call because you be sweat ? stop kid . want to know what happen . what do you mean , flop sweat ? you 're make too much out of it 'll bet you be the only one aware of it aaron , will you tell me ? then what be good about it ? do others feel that you do well ? do you feel good about it ? do it really go well ? no . how 'd it go ? you too . okay , great good luck . 'm not sure 'll be able to well , the line of the jacket no really just very nice just right . wish could be there . a good a humanly possible . it not date . it go to professional conclave . read about it that how you can make sure you do n't put on too much perfume do you bring your grey suit ? tom why do n't meet you there ? 've get some last minute stuff 've get to take care of hey , how do you resolve your dilemma do you rent the tux or buy it knew it . how much ? wow okay see you there aaah ello . you sure they say the management meeting ? they want me to be at the management meeting . long time . be restless . will you crack my neck ? yes . you know you 've have strange day 'd sleep on all these thing you 've be think . sound like you may be on to something . well , whatever you think . right and we have the pilot on the way in nobody else will have him . thanks . the be one of the most difficult plane to master . oh , you call them and in the the first crop have number of crash . 'll come by your place , right after drink , take pill love you . 'll tell you later where you go to watch from ? write for you sometimes . to the pan of the supply box of course . okay . great line at the end . you spend too much time much too much worry about that crap oh good . if we do n't get to their camp soon , we wo n't be able to tape the supply come in . oh , god . back it , bobbie bobbie ? nine second . you want to start go over who they could have gotten ? they ca n't take on people like this for network news . for god sake . what go on ? call if you get weird . good night . this conversation be not worthy of you . sure . why do you say that ? no . it make me nervous to think about it . let do this . half hour in the lobby . at six on the news they use the wrong missile graphic . no , do n't . he happens to deserve the credit . he right here . aaron should be hearing this so have an extra witness . but thanks . thanks . just wish you 'd kept the first twenty second . yes . it start . what be you dress up for ? oh , that right because the even news be here this week . no , 'm not . 'm the fourth . joan richmond . pauline frederick get that credit once on special and there susan zirinsky . yes ? do you hear what just say do you have that ? take breath . tell george and jessica to try and cover everything without tom have to ask additional question . yeah , know , go back and forth on it . 'll never tell . yes , there be . 'll be right down . it right tight . bobbie , please . right there , bobbie . no stop where he all besiege . just dissolve . okay , bobbie , just dissolve to the rockwell . let me hear it ! play back the last line please , bobbie , we 're push . go back to , bobbie . the sound bite in the cab it start , do n't know how 'll feel nooo . this way the rotation stay the same . just have two more pen pal and then 'm do . be start to get jealous . read in the newspaper about the italian strike and riot in milan . hope you be n't fill for second . no , it awful . oh my , it awful . it not opinion . tom be n't ready for the job you 're about to hand him . not near ready . not by the long shot . aaron spent six week in tripoli , he interviewed gaddafi he report on the story . think he essential to do the job we 're capable of and think it my responsibility to tell you that . 'm sorry because be look forward to that , but go back in few hour . well , there guy , but he say he 'll fly up lot . thought for ol cliff here look at you ? you 're more adorable than your picture . look what get for you . well , why not ? hey , what be this ? my life rush in front of my eye . why do have to do this to myself ? watch you take off . call me if you need anything . it well when you let me say it . it just that one of the few thing 'm not confuse about be what be say downstairs , that so you have an extra bathing suit , huh ? it okay . you 're lucky come after you so you get that off your knew what you meant . do n't wan to discus work . that not go to be the way we say . even though think what you do be rotten it not all impersonal . you mean something to me . it amaze . you commit this incredible breach of ethic and you act a if 'm nitpick . try and get this . when you edit that it just prof that the difference we have be work up tear for new piece cutaway you totally cross the line between it make me you could get fire for thing like that . jesus , if you 're glib about this 'm go to lose it . be up all night and of course it the reason . it terrible what you do . saw the taped outtake of the interview with the girl . know you your reaction after the interview . you fuck that more than that bet . well , just think that an extraordinary proposal . how can you say that to me ? that so perfectly it really make me feel little faint whooo . what ? no . do he really ? feel terrible about what happen . what do he say ? okay , great , grunick easy shot now huh ? good night . good night ! ! ! yes . . do n't know if that absolutely necessary . hi , again . sorry about it be n't a bad a he think , be it ? it be n't unprecedented or anything ? 'm not sure . it seem like he have sort of mishap on the news . ca n't get away just yet . 'm at aaron . hi . it me . okay . sorry . do n't yell at me like that again , you scar the life out of me . he might be weird he can talk more freely if go alone why that so hard to understand ? what happen ? no . 'll see you at your apartment a soon a can . forgot all about aaron . promise to stop by and see how he do . good another be you 're try to make it all about sex and heat and nothing else . three just thought of third if you talk about it , you do n't have to do it . oh let see wait minute , well , can think of two reason . right , right be n't she fun to tease ? be half hop would n't have good time tonight . you know why ? this be hysterical . at least kiss me when you do that . well great . . good . that it see you . who ? it move me . do relate to it really do . it be unusual for you to cut to yourself when you tear up and that might not have be my choice but it real and it get me and think lot of the time 'm too conservative about that kind of stuff . okay ? so you like me , huh ? oh , good . . why , you need me for the story ? nooo . be it your story ? say who ? not important . be dream oh , no ca n't tell how embarrass for me . gosh . have to sleep fast so take two allergy pill to help me 'm sorry hey , you call me . jane , yes . tom ? tom , be that you ? be this tom ? yes , tom think can manage . well , what be it ? what ? eventually . do it have to be right now ? okay . you do n't like the party , huh ? 'll get you through . move and smile . and smile and move it much too soon for you to have this kind of buzz around you . 'll be the judge of that . come on , 'll buy you drink . there big thing over at the italian embassy . hey , know how to have burger by myself . feel like little solitude . well , 'll go in and have bite . well , thought 'd check if all of you be still here . 'll just go in and join the gang and you two go on . okay . yeah ? 'm go over to aaron . maybe 'll hoop up with all of you later . how long do you think you 'll be there ? yeah . it be an unusual place to be . we 're go to george . say joint chief be meeting we have george weln at the pentagon . nervous ? yes . just do n't say anything mean for while . thanks . well , thump like me leave appearance to guy like you . what do you mean clean ? billion . some public official skip week on his christmas club ? give it to him so we can concentrate . yes . just get back do n't know which end be up . how it go ? ca n't help you , sorry . 'm not here to teach remedial reporting . lot appreciate it no . aaron and go to central america on wednesday so 'm cram . you be n't . thanks . how do it feel be here ? we 're work here ! ! you can stand over in the uh , uh , uh hey ? just what do you want from me , anyway ? permission to be fake ? stop whine and do something about it . agree with you you 're not qualify . so get qualify . you can insist on be well prepared . you do n't have to just leave it a do n't write . 'm not school . do n't understand the news 'm reading . but at least 'm upset about it , folk . it hard for me to advise you since you personify something that truly think be dangerous . so , you 're not well educate and you have almost no experience and you ca n't write . well , come on it be your life . nobody be tie you to the fast track . do you go to college ? what about the obvious remedy ? reverse thing . maybe get job on newspaper . trust you . how be you at back rub ? so great right ? be do sport at the station . the newspaper ran this untrue story that be leave and they get all these ton of protest mail . so they make me anchor . come on even 'm not that hard on myself . yes . my room be down here 'm not tire . do you want to keep talk ? another thing ca n't stand be when white house reporter bullshit with each other after briefing and then one of them have theory and the other quote it in his story a white house source say nooo . if could just have roll , 'd be okay . if we could just eat first . like godsend . hi . be worried be early . thank you . they hat me . do n't hate them . hi . right back to you . ca n't be . god almighty whew . do mind ? why do mind ? do mind . what shock do n't have right to do n't think like him . know do n't respect him so what be talk about what be say to you ? go ahead what ?",0.1149917542774684,0.5053835119906551,0.0407279029462738,0.39055595,0.32525152,0.20643254
685,JEZZIE,jacob's ladder,"you know who be . how many time have you ask me that ? how many time ? love your chemist , jake . the height of fantasy . and your vision of paradise . most romantic creation . you 're quite dreamer , jake . only it time to wake up . what wrong , jake ? forget to take your antidote ? your capacity for be remarkable , singer . wake up ! stop play with yourself . it finish . it over , jake . it all over . sit down ! sit down , jake . do what ? have n't do thing . always like the west , west of linois anyway . but you get ta give me time to pack . where west ? new jersey ? oh ? where you go ? oh yeah ? what be happenin there ? 'm not bugging you . come and lie down . 'll give you massage . where 'd you go today ? you can have anything you want . look at yourself . you look like you 've see ghost . you look terrible . what happen ? jake be it the antidote ? jake , what be it ? you look upset . what 'd you do that for ? it an teresting story . all these people be still disappear . right off the street . hey , what wrong ? be you all right ? you . who do you think you be ? do n't deserve this . who take care of you day and night ? who clean the floor and wash your goddamn underwear ? well , 've have it . you flip out on your own , you ungrateful bastard . 'm do hold your hand . do n't want anything to do with you , you hear ? nothing ! you 're out of your fuck mind . 'm not gon na stand around here gettin interrogate by you . what do you want me to say ? my mother tummy ? you 've live with me for two year . cause you know goddamn well who be . it go to be all right , jake . it go to be all right . do n't be afraid . 've get you now . so tell me be still an angel ? you know who be . how many time have you ask me that ? how many time ? you have quite mind , jake . love your friend . that chemist the ladder . what an imagination you have ! what wrong , jake ? forget to take your antidote ? your capacity for be remarkable , singer . wake up . stop play with yourself . it finish . it over , jake . it all over . sit down . sit down , jake . oh yeah ? try leavin without me . reasonable ? reasonable ? jake you 're gettin me angry . please . bullshit ! can waitress . 'm good . want to go with you , jake . wherever you go . this be one of my dream , jake . ever since be little girl . never thought it would happen . it so hard to believe . it amaze , you know , that drug could change thing like that , destroy life and then give it back . it hard to believe that the world could be so hellish on day and like heaven the next . what gotten into you ? god , ca n't keep up with all your change . be you out of your mind ? what be you do here ? be you all right ? how do you expect to pay for this ? everyone look for you , jake . dodge people all over the place , reporter , police . do n't know what you 're gon na do . how do you know he tell the truth ? how ? who be that ? hello no . he not here . have n't see him all night do n't know when what ? tell him what ? vietnam ? what experiment ? it might be for me . why be you do this to me ? you ca n't just go away like that . want to know . you tell me ! where be you , jake ? where 've you be ? why have n't you call ? who else be you expect ? it just me . baby , 'm sorry . feel terrible . 'd stay and talk but 'm so late . look , do n't be upset . we 'll talk when get home . see you around midnight . bye . and do n't brood . watch . or something . do n't know . that all he say . he be n't very friendly . oh , yeah . he say your buddy back down . they chickened out , he say . he say you do n't have one . he do n't give me chance . look , honey , do n't get upset , but he not take your case . while you be in the shower . put frozen dinner in the oven , manhandler . it 'll be ready at quarter of . threw little salad together . it in the fridge . also bought some apple juice , red cheek . do n't drink it all . oh , and jake , your lawyer call . how come ? the army ? remember that . know . we 're all angel , you know and devil . it just what you choose to see . so tell me be still an angel ? look , 'm horny . keep it in mind . love me little ? you know , you really ought to get out today . you ca n't just sit around like this all the time . it not healthy . it not good for your mind . go take walk , or somethin . go to movie . christ , who gon na know ? you think care ? do n't give shit . go . enjoy yourself . one of u should be have good time . hello ! anybody home ? anybody in there ? you 're right here , jake . you just rest . the doctor say you have virus . that what they say when they do n't know what it be . you ca n't do anything for week . he say you get ta recuperate . now you just lie here . sandelman make you some chicken soup . it 'll warm you up . you 're here . home . the doctor say you 're lucky your brain do n't boil . what night , jake . it be crazy . you kept sayin sarah , close the window , over and over . and talkin to your kid . even the dead one . weird . you know you melt pound of ice in hour . amaze , huh ? jake . you 're gon na be all right , jake . you 're gon na be fine . here . 'll do it . sam , tony , come in here . lie down ! what kind of man be you ? you 're red hot , damn it . get in there . 've get to get more ice . that your decision . goddamn it . get in here . ca n't stand around wait . he come right over . that you 'd die on the way to the hospital . now get into that tub . get your clothes off ! get your clothes off . the number stop at . it go to the top . do n't believe this . 'm call the doctor . ca n't you stop it ? hey , 'm here . why ? what for ? what do you mean ? where do you think ? we 're at della . oh , come on . it early . you okay ? come on . what be they , jake ? kid on joy ride . happens all the time . demon , jake ? come on . they 're wino and bag lady . low life . that all they be . the street be crawl with . do n't make em into somethin they 're not . it the pressure , honey . that all it be . new york be fill with creature . everywhere . and lot of station be close . it still there , jake . even if you never say word about it . you ca n't spend two year in vietnam it have nothin to do with talkin . she always on your mind . maybe it all the pressure , jake . the money . thing like that . or your wife . enjoy crush into you . well , 'll miss rid home with you . be look forward to it . now ? what about the bos ? he not gon na like it . what wrong ? jake ! just gettin rid of the garbage . do n't like thing that make you cry . be that the one who die ? not to me . look at her face . real bitch . why you left . that sarah ? can see what you mean . lem me see . picture . your wife be gon na toss so what his name brought over on his way to school . jake , you be never out of your head ! the best . good lay . you sell your soul , remember ? that what you told me . do n't let anybody call me that . well , personally , never go for church name . they 're weird name . no . the little one . your kid drop it off . maybe you left in the bathroom . do you look around the headboard ? where 'd you leave ? you up ? what happen to you ? it be tomorrow . four how come you 're so late ? the room ! what do you think ? that help ? move the couch . that all . where be you ? gee , thanks lot . why do n't you turn on the light ? jake , be that you ? he melt it a fast a we dump it in . pour it in . he do n't like it . bring it in .",0.0964099357275377,0.5638642253438172,0.069703243616287,0.39035177,0.29134732,0.12624061
